Facility,Type,Number of Beds,Region,Address,City,State,Zip,Telefone,Fax,Admin,Admin Email,SW,SW Email,Markt,Markt Email
Brookdale West County,ALF II,98,West County,785 Henry Ave.,Ballwin,MO,63011,(636) 527-5700,(636) 527-5701,Angela Sweet,asweet@brookdale.com,,,Erin Swenson,eswenson@brookdale.com
Brooking Park,ALF II,170,West County,307 S. Woods Mill Road,Chesterfield,MO,63017,(314) 576-5545,(314) 576-1354,Alysia Heinz,,,,Amy McFarlin,amcfarlin@standrews1.com
Cape Albeon,ALF II,68,West County,3300 Lake Bend Drive,Valley Park,MO,63088,(636) 861-3200,(636) 431-2000,Carol Disanza,cdisanza@standrews1.com,,,Debra Tao,Dtao@standrews1.com
Cedarhurst of Des Peres,ALF II,60,West County,12826 Daylight Circle,St. Louis,MO,63131,(314) 328-0441,,Jessica Frederickson,,,,,
Cedarhurst of St. Charles Assisted Living and Memory Care,ALF II,99,St. Charles,1800 First Capital Drive,St. Charles,MO,63301,(636) 442-4500,,Ryan McHugh,,,,,
Charter Senior Living at Saint Louis Hills,ALF II,210,St. Louis City,6543 Chippewa St.,St. Louis,MO,63109,(314) 647-6600,,Theresia Metz,,,,,
Chateau Ann Marie,ALF I,,St. Louis City,7700 Minnesota Ave,St. Louis,MO,63111,314-449-1497,314-449-1614,Christopher Vancil,,,,,
Chesterfield Villas,ALF II,119,West County,14901 North Outer 40 Road,Chesterfield,MO,63017,(636) 532-9296,(636)532-0551,Kim Liefer,kliefer@delmargardens.com,,,,
Chestnut Glenn - Assisted Living by Americare,ALF II,72,St. Charles,121 Klondike Crossing,St. Peters,MO,63376,(636) 928-4200,,Kendra Garnto,,,,,
Crab Apple Village Senior Estates,ALF II,41,Franklin,214 Hartman Place,St. Clair,MO,63077,(636) 629-6161,(636) 629-6060,Jackie Hartmann,cavillage@sbcglobal.net,Jen Glover,jencavillage@yahoo.com,,
Creve Coeur Assisted Living and Memory Care,ALF II,110,Central County,693 Decker Lane,Creve Coeur,MO,63141,314-997-4532,,Dina Spies,,,,,
Crystal Oaks,ALF II,47,Jefferson,1500 Calvary Church Road,Crystal City,MO,63019,(636) 933-1818,(636) 933-1894,James Arnold,jarnold@crystaloaks.org,Amy Daniels,adaniels@crystaloaks.org,Cyndi Morgan,cmorgan@crystaloaks.org
Dolan Memory Care Homes at Calais,ALF II,10,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Clermont,ALF II,10,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Conway,ALF II,8,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Frontier,ALF II,9,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Lourdes,ALF II,10,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Lyon,ALF II,10,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Mason,ALF II,7,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Villa,ALF II,9,Central County,11566 Frontier Dr.,St. Louis,MO,63146,(314) 993-9500,(314) 993-9505,John Munch,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dolan Memory Care Homes at Waterford Crossing,ALF I,9,West County,11286 Schuetz Road,St. Louis,MO,63146,314-993-9500,,Tracey Ray,,Jan McGillick,,Tena Barry,tbarry@dolancare.com
Dougherty Ferry Assisted Living and Memory Care,ALF I,100,West County,2929 Dougherty Ferry Road,St. Louis,MO,63122,636-825-6665,,,,,,,
DuBourg House,ALF I,69,St. Louis City,5890 Eichelberger St.,St. Louis,MO,63109,(314) 752-1901,(314) 752-0572,Michael Riggins,,,,,
Dunsford Court - Assisted Living By Americare,ALF II,50,Franklin,775 Dunsford Drive,Sullivan,MO,63080,(573) 468-2600,(573) 468-8189,Tracy Martin,,,,Duane Smith,sullivan@americareusa.net
"Family Partners Home, LLC",ALF II,8,West County,232 Creve Coeur Ave,St. Louis,MO,63011,314-686-4444,,,,,,,
Fountain View at Friendship Village Sunset Hills,ALF II,78,South County,12777 Pointe Drive,St. Louis,MO,63127,(314) 270-7111,(314) 270-7112,Mary Grodeon,summersnicole@fvsunsethills.com,,,Erin Rogers,rogerserin@friendshipvillagestl.com
Four Seasons Assisted Living,ALF I,,NEMO - Lincoln,230 Railroad St.,Moscow Mills,MO,63362,(636) 366-4231,,Barbara Schwarz,,,,,
Friendship Village Chesterfield,ALF I,22,West County,15201 Olive Blvd.,Chesterfield,MO,63017,(636) 733-0199,(636) 733-0196,Ken Klump,martinezanita@lifecareserviceslcs.com,Jami Roberts,robertsjami@fvchesterfield.com,,
Garden Villas,ALF I,22,West County,13590 S. Outer 40 Rd.,Town & Country,MO,63017,(314) 434-2520,,Wendy Weck,wweck@delmargardens.com,,,,
Garden Villas North,ALF I,70,North County,4505 Parker Road,Black Jack,MO,63033,(314) 355-6100,(314) 355-1463,Patty O'Leary-Bay,kgilmore@delmargardens.com,,,,
Garden Villas of O'Fallon,ALF I,52,St. Charles,7092 South Outer 364 Road,O'Fallon,MO,63368,(636) 240-5560,(636) 240-4995,Karen Bohack,kbohack@delmargardens.com,,,,
Garden Villas South,ALF I,64,South County,13457 Tesson Ferry Road,St. Louis,MO,63128,(314) 843-7788,(314) 843-7845,Michelle Miller,mmiller@delmargardens.com,,,,
Glenfield Memory Care Homes,ALF II,12,St. Charles,118 Ohmes Rd,Cottleville,MO,63376,(636) 447-4449,,Allison Smith,,,,,
Harold and Louise Assisted Living,ALF I,,NEMO - Marion,135 Communiction Drive,Hannibal,MO,63401,(573) 221-1189,,Amanda Strange,,,,,
Highland Crest - Assisted Living by Americare,ALF II,42,NEMO - Adair,2204 S. Halliburton St.,Kirksville,MO,63501,(660) 627-8004,(660) 627-3110,Carol Daugherty,kirksville@americareusa.net,,,,
Kasey Paige Assisted Living,ALF I,111,St. Louis City,3715 Jamieson Avenue,St. Louis,MO,63109,314-781-0222,,,,,,,
Keaton Center,ALF I,24,Jefferson,120 N. Mill St.,Festus,MO,63028,(636) 232-2323,(636) 931-2139,Cynthia Woodley,,,,,
Laclede Commons,ALF I/II,172,Central County,727 S. Laclede Station Road,Webster Groves,MO,63119,(314) 968-5570,,Angela Wilaon,awilson@lssliving.org,,,,
Lake St. Charles Assisted Living Apartments,ALF I,50,St. Charles,45 Honey Locust Lane,St. Charles,MO,63303,(636) 947-1100,,Samantha Davis,,,,,
Lutheran Senior Services at Breeze Park,ALF I/II,79,St. Charles,600 Breeze Park Drive,St. Charles,MO,63304,(636) 939-5223,(636) 939-5865,Tammy Hempen,thempen@lssliving.org,Debbie Noelken,dnoelken@lssliving.org,,
Lutheran Senior Services at Meramec Bluffs,ALF II,55,West County,40 Meramec Trails Drive,Ballwin,MO,63021,(636) 861-0600,(636) 923-0011,Amy Hayden,,Brenda Akers,bakers@lssliving.org,,
Lynn's Hentage House,ALF II,,NEMO - Pike,800 Kelly Lane,Louisiana,MO,63353,(573) 754-4020,(573) 754-4306,Jenna Loveless,,,,,
"Mark Twain Assisted Living, Inc.",ALF II,,NEMO - Randolph,901 Union Ave.,Moberly,MO,65270,(660) 263-6515,,Kathryn Miller,marktwainmoberly@att.net,,,,
Mason Pointe Senior Living,ALF II,62,West County,13190 S. Outer 40 Road,Chesterfield,MO,63017,(314) 434-3330,(314) 392-6290,Kathleen Nardoni,kathleen.nardoni@lssliving.org,Linda Dumas,,,
Mattis Pointe Assisted Living by Americare,ALF I,30,South County,4962 Mattis Road,St. Louis,MO,63128,314-312-0032,,,,,,,
Mattis Pointe Assisted Living by Americare,ALF II,30,South County,4962 Mattis Road,St. Louis,MO,63128,314-312-0032,,,,,,,
McKnight Place Assisted Living,ALF II,45,Central County,3 McKnight Place,St. Louis,MO,63124,(314) 997-5333,(314) 372-2300,Laura Ritthamel,gknittel@mpextendedcare.com,Patti Romeo,promeo@mpassistedliving.com,,
Meadow Ridge Estates Assisted Living,ALF I,,NEMO - Randolph,521 Meadow Ridge Lane,Moberly,MO,65270,(660) 263-0550,(660) 263-7085,Oneva McClendon,Oneva@meadowrdg.com,,,,
"Mother of Perpetual Help Residence, Inc.",ALF II,80,Central County,7609 Watson Road,St. Louis,MO,63119,(314) 918-2260,(314) 961-1548,Mike Barth,mbarth@crssstl.org,Kathy Mcaleenan,kmcaleenan@crssstl.org,,
My Place Residential Care,ALF I,44,Jefferson,23 N. 6th St.,Festus,MO,63028,(636) 933-1793,(636) 933-6446,Christopher Kopp,chrisskoppmprc@gmail.com,Linda Casey,,,
Nazareth Living Center,ALF II,48,South County,2 Nazareth Lane,St. Louis,MO,63129,(314) 487-3950,(314) 487-8001,Mary Leiber,mary.leiber@bhs.org,Janet Vise,janet.vise@bhs.org,Joann Foster,joann.foster@bhs.org
New Haven Care Center,ALF I,4,Franklin,9503 W. Highway 100,New Haven,MO,63068,(573) 237-2103,(573) 237-3953,Dorothy Sharpe,dsharpe@newhavencarecenter.org,Cherie Brown,cbrown@newhavencarecenter.org,,
Oak Pointe of Warrenton,ALF II,,NEMO - Warren,700 Forrest Ave,Warrenton,MO,63383,(636) 456-6464,(636) 456-0988,Stephanie Horn,,Julie Willman,jwillman@provisionliving.com,,
"Pacific Care Center, LLC",ALF II,12,Franklin,105 S. 6th St.,Pacific,MO,63069,(636) 271-4222,(636) 257-2713,Gretchen Roberts-Hoaglin,gretchen@pacific-care-center.com,Sarah Wengler,,,
Park Place,ALF II,44,St. Charles,2004 Boardwalk Place Drive,O'Fallon,MO,63368,(636) 561-7275,(636) 625-2754,Kathleen Stege,,,,,
Park Place II,ALF I,80,St. Charles,2000 Broadwalk Place Drive,O'Fallon,MO,63368,(636) 561-7275,(636) 561-5304,McKenzie Bruner,,,,,
Pleasant View,ALF II,,NEMO - Marion,641 Euclid Ave.,Hannibal,MO,63401,(573) 406-1090,(573) 406-0509,Paul Ewert,pleasant-view@bethaven.org,Tisha Johnson,,,
Ravenwood Terrace - Assisted Living by Americare,ALF II,,NEMO - Randolph,1830 Ravenwood Drive,Moberly,MO,65270,(660) 263-8004,(660) 263-7336,Jessica Bankhead,,,moberly@americacareusa.net,,
Richmond Terrace,ALF II,53,Central County,1633 Laclede Station Road,Richmond Heights,MO,63117,314-646-8000,,,,,,,
Ridgeway Residential Care,ALF I,20,Franklin,431 Russell Road,Sullivan,MO,63080,(573) 468-4318,(573) 885-0736,None,,,,,
Saddler,ALF I,20,St. Louis City,730 Hodiamont Ave.,St. Louis,MO,63112,(314) 725-3709,(314) 725-0683,La'Terryl Saddler,saddlerrcf2@aol.com,,,,
Shelbina Villa Lifecare,ALF II,,NEMO - Shelby,218 E. Shelbina Ave.,Shelbina,MO,63468,(573) 588-4115,(573) 588-2383,Kim Thompson,shelbinavilla@hotmail.com,Paula Lowe,shelbinavillaactivities@hotmail.com,,
Silver Spur,ALF I,34,St. Louis City,2614 Utah St.,St. Louis,MO,63118,(314) 773-3408,(314) 771-8699,JoAnn Pate,,Stephaine Pate,,,
South Pointe - Assisted Living By Americare,ALF I,28,Franklin,5125 Old Highway 100,Washington,MO,63090,(636) 239-0670,(636) 239-9611,Whitney Pelton,washington@americareusa.net,,,,
Southview Assisted Living,ALF II,103,South County,9916 Reavis Road,Affton,MO,63123,(314) 544-4440,(314) 544-4460,Aimee Swan,lreynolds@spectrumretirement.com,,,"Lisa Reynolds, Outreach Coordinator",lreynolds@spectrumretirement.com
Spencer Place - Assisted Living By Americare,ALF II,62,St. Charles,265 Spencer Road,St. Peters,MO,63376,(636) 441-6662,(636) 498-0106,Cathy Immel,spencer@americareusa.net,,,,
Spring Manor,ALF I,94,St. Louis City,3610 Palm St.,St. Louis,MO,63107,(314) 533-3111,(314) 535-3325,Aneeqa Khan,,,,,
St Andrews Assisted Living of Bridgeton,ALF II,35,North County,11325 St. Charles Rock Road,Bridgeton,MO,63044,(314) 209-1177,(314) 738-0777,Kristie Nunn,knunn@standrews1.com,,,,
St. Ann Assisted Living Center,ALF I,40,North County,10441 International Plaza Drive,St. Ann,MO,63074,(314) 423-1254,,Michelle Johnson,,,,,
St. Elizabeth Hall,ALF II,50,St. Louis City,325 N. Newstead Ave.,St. Louis,MO,63108,(314) 652-9525,(314) 652-8879,Thomas Nieder,tnieder@crssstl.org,,,,
St. Louis Altenheim,ALF I,90,St. Louis City,5408 S. Broadway,St. Louis,MO,63111,(314) 353-7225,(314) 353-7389,Betty Ellis,,Tammy Bumgarner,,Theresa Woodley,twoodley@st.louisaltenheim.com
Sugar Creek - Assisted Living by Americare,ALF II,,NEMO - Lincoln,161 Professional Parkway,Troy,MO,63379,(636) 528-3136,,Michael Hammond,troy@americareusa.net,,,,
Sunnyhill Independence Center,ALF II,20,Jefferson,3343 Armbruster Road,De Soto,MO,63020,(636) 931-4701,,Megan Claire Shoults,,,,,
Sunrise of Webster Groves,ALF II,90,Central County,45 E. Lockwood Ave.,St. Louis,MO,63119,314-918-7300,,,,,,,
Sunrise Senior Living of Chesterfield,ALF II,3,West County,1880 Clarkson Road,Chesterfield,MO,63017,(636) 536-3800,(636) 536-3135,Jackie Malloy,chesterfield.ed@sunriseseniorliving.com,Shirley Smith,chesterfield.dos@sunriseseniorliving.com,,
The Arbors at Mattis Pointe Memory Care Assisted Living by Americare,ALF II,32,South County,4950 Mattis Road,St. Louis,MO,63128,314-366-3155,,,,,,,
The Arbors at Mount Carmel,ALF I,108,St. Charles,723 First Capitol Drive,St. Charles,MO,63301,(636) 946-4140,(636) 946-1104,Brent Glover,bglover@mountcarmelliving.com,Judy Jacks,jjacks@mountcarmelliving.com,,
The Arbors at Victorian Place - Memory Care Assisted Living by Americare,ALF II,32,Franklin,2701 Rabbit Trail Drive,Washington,MO,63090,(636) 390-0011,,Caroline Cattinari,vp.washington@americareusa.net,,,,
The Bridge at Florissant,ALF II,90,North County,1101 Garden Plaza Dr.,Florissant,MO,63033,(314) 831-0988,(314) 831-1465,Jane Effinger,,,,,
The Fountains of West County,ALF II,80,West County,15822 Clayton Road,Ellisville,MO,63011,636-489-1128,,,,,,,
The Gables at Brady Circle,ALF II,80,North County,11 Brady Cir,St. Louis,MO,63114,(314) 890-2230,,Ryan Bentley,,,,Kathy Treece,
The Gables at Cottleville Memory Care Home,ALF II,12,St. Charles,118 Ohmes Road,Cottleville,MO,63376,636-447-4449,,Sharon King,,,,,
The Landing of O'Fallon,ALF II,,St. Charles,1000 Landing Circle,St. Charles,MO,63304,(636) 669-0780,,Patricia Burchfield,,,,,
The Pathways Program,ALF I,16,St. Charles,161 Pieper Road,O'Fallon,MO,63366,(636) 978-3132,(636) 281-5414,Grant Ehlmann,gehlmann@cridercenter.org,Gine Dupuis,gdupuis@cridercenter.org,,
The Sarah Community - Veronice House,ALF II,98,North County,12284 DePaul Drive,Bridgeton,MO,63044,(314) 209-8814,(314) 209-8823,Charles White,sherr@standrews1.com,Sheila Longsdon,slongsdon@standrews1.com,Kathy Heimburger,kheimburger@standrews1.com
The Sheridan at Chesterfield,ALF II,,West County,16300 Justus Post Rd,St. Louis,MO,63017,(636) 778-4800,,Shelly Mathon,,,,,
The Sheridan at Creve Coeur,ALF II,53,Central County,450 North Lindbergh Blvd,Creve Coeur,MO,63141,314-628-0004,314-228-0436,Tisa Nguyen,,,,,
The Sheridan at Laumeier Park,ALF II,88,South County,12470 Rott Rd,St. Louis,MO,63127,(314) 219-5232,,Jodi Luaders,,,,,
The Villages of St. Peters,ALF II,60,St. Charles,5400 Executive Centre Parkway,St. Peters,MO,63376,(636) 922-7600,(636) 447-6214,Kerri Oth,aldirector@vofsp.com,Becca Miller,ltcsocialservices@vofsp.com,Ashley Landry,marketing@vofsp.com
Troy Manor,ALF I,,NEMO - Lincoln,200 Thompson Drive,Troy,MO,63379,(636) 528-8446,(636) 462-3769,Lawrence Boschert,troyadmin@socket.net,Kristin Seymour,,,
Twin Oaks at Heritage Pointe,ALF II,70,St. Charles,228 Savannah Terrace,Wentzville,MO,63385,(636) 542-5400,(636) 542-5520,Justin Blattel,jtblattel@aol.com,Kathy Swanegan,kswanegan@twinoaksheritagepointe.com,,
Victorian Place of Union - Assisted Living by Americare,RCF I,48,Franklin,1320 W. Main St.,Union,MO,63084,(636)-584-0085,(636) 584-0433,Cassandra Crews,vp.union@americareusa.net,,,,
Village Center Care of Wentzville,ALF II,22,St. Charles,909 E. Pitman Ave.,Wentzville,MO,63385,(636) 219-3114,,Jennifer Gettman,jennifergettman@yahoo.com,,,,
Westview at Ellisville Assisted Living & Memory Care,ALF II,90,West County,27 Reinke Road,Ellisville,MO,63021,(636) 527-5554,(636) 527-5571,Shelly A Mathon,,,,Robyn Duffey,RDuffey@spectrumretirement.com
Willow Brooke - Assisted Living By Americare,ALF II,50,Franklin,1 Potomac Court,Union,MO,63084,(636) 583-2799,(636) 583-6950,Cassandra Crews,union@americareusa.net,,,,
Windsor Estates of St. Charles,ALF II,53,St. Charles,2150 W. Randolph St.,St. Charles,MO,63301,(636) 946-4966,(636) 940-0214,Beverly Rector,,,,,
Woodlands of Arnold,ALF I,178,Jefferson,100 Woodland Ct,Arnold,MO,63010,636-296-1400,,Michelle Plumb,,,,,
